component_rank,node_count,share_of_all_nodes_pct
509,2,0.001367147446852143
510,2,0.001367147446852143
511,2,0.001367147446852143
512,2,0.001367147446852143
513,2,0.001367147446852143
514,2,0.001367147446852143
515,2,0.001367147446852143
516,2,0.001367147446852143
517,2,0.001367147446852143
518,2,0.001367147446852143
519,2,0.001367147446852143
520,2,0.001367147446852143
521,2,0.001367147446852143
522,2,0.001367147446852143
523,2,0.001367147446852143
524,2,0.001367147446852143
525,2,0.001367147446852143
526,2,0.001367147446852143
527,2,0.001367147446852143
528,2,0.001367147446852143
529,2,0.001367147446852143
530,2,0.001367147446852143
531,2,0.001367147446852143
532,2,0.001367147446852143
533,2,0.001367147446852143
534,2,0.001367147446852143
535,2,0.001367147446852143
536,2,0.001367147446852143
537,2,0.001367147446852143
538,2,0.001367147446852143
539,2,0.001367147446852143
540,2,0.001367147446852143
541,2,0.001367147446852143
542,2,0.001367147446852143
543,2,0.001367147446852143
544,2,0.001367147446852143
545,2,0.001367147446852143
546,2,0.001367147446852143
547,2,0.001367147446852143
548,2,0.001367147446852143
549,2,0.001367147446852143
550,2,0.001367147446852143
551,2,0.001367147446852143
552,2,0.001367147446852143
553,2,0.001367147446852143
554,2,0.001367147446852143
555,2,0.001367147446852143
556,2,0.001367147446852143
557,2,0.001367147446852143
558,2,0.001367147446852143
559,2,0.001367147446852143
560,2,0.001367147446852143
561,2,0.001367147446852143
562,2,0.001367147446852143
563,2,0.001367147446852143
564,2,0.001367147446852143
565,2,0.001367147446852143
566,2,0.001367147446852143
567,2,0.001367147446852143
568,2,0.001367147446852143
569,2,0.001367147446852143
570,2,0.001367147446852143
571,2,0.001367147446852143
572,2,0.001367147446852143
573,2,0.001367147446852143
574,2,0.001367147446852143
575,2,0.001367147446852143
576,2,0.001367147446852143
577,2,0.001367147446852143
578,2,0.001367147446852143
579,2,0.001367147446852143
580,2,0.001367147446852143
581,2,0.001367147446852143
582,2,0.001367147446852143
583,2,0.001367147446852143
584,2,0.001367147446852143
585,2,0.001367147446852143
586,2,0.001367147446852143
587,2,0.001367147446852143
588,2,0.001367147446852143
589,2,0.001367147446852143
590,2,0.001367147446852143
591,2,0.001367147446852143
592,2,0.001367147446852143
593,2,0.001367147446852143
594,2,0.001367147446852143
595,2,0.001367147446852143
596,2,0.001367147446852143
